PERIODO,SEDE,CODIGO_DE_CURSO,HORARIO,FRECUENCIA,AULA,ALUMN
202505,Pucallpa,JR1SP,10:50 - 12:31,Sabatino,204,23
202505,Pucallpa,B00RP,16:00 - 17:30,Diario,204,24
202505,Pucallpa,B00RP,17:45 - 19:15,Diario,204,24
202505,Pucallpa,B00RP,19:30 - 21:00,Diario,204,24
202505,Pucallpa,B01RP,16:00 - 17:30,Diario,202,20
202505,Pucallpa,B02RP,16:00 - 17:30,Diario,203,20
202505,Pucallpa,B03RP,16:00 - 17:30,Diario,205,14
202505,Pucallpa,B04RP,16:00 - 17:30,Diario,206,15
202505,Pucallpa,B01RP,17:45 - 19:15,Diario,202,20
202505,Pucallpa,B03RP,17:45 - 19:15,Diario,205,14
202505,Pucallpa,B06RP,17:45 - 19:15,Diario,203,20
202505,Pucallpa,B01RP,19:30 - 21:00,Diario,202,20
202505,Pucallpa,B02RP,19:30 - 21:00,Diario,203,20
202505,Pucallpa,B03RP,19:30 - 21:00,Diario,206,15
202505,Pucallpa,B04RP,19:30 - 21:00,Diario,201,19
202505,Pucallpa,JR4SP,08:55 - 10:36,Sabatino,202,20
202505,Pucallpa,JR6SP,08:55 - 10:36,Sabatino,206,15
202505,Pucallpa,K04S,08:55 - 10:36,Sabatino,201,19
202505,Pucallpa,JR4SP,10:50 - 12:31,Sabatino,202,20
202505,Pucallpa,JR5SP,10:50 - 12:31,Sabatino,206,15
202505,Pucallpa,JR6SP,10:50 - 12:31,Sabatino,201,19
202505,Pucallpa,K06S,10:50 - 12:31,Sabatino,205,14
202505,Pucallpa,B07RP,16:00 - 17:30,Diario,201,19
202505,Pucallpa,B08RP,17:45 - 19:15,Diario,201,19
202505,Lima Centro,B00RP,10:30 - 12:00,Diario,403,26
202505,Ica,B00CP,07:00 - 14:26,Sabatino,105,24
202505,Ica,AG1SI,07:00 - 14:26,Sabatino,202,15
202505,Ica,B02CP,07:00 - 14:26,Sabatino,204,19
202505,Ica,B03CP,07:00 - 14:26,Sabatino,106,19
202505,Ica,B04CP,07:00 - 14:26,Sabatino,107,19
202505,Ica,B09CP,07:00 - 14:26,Sabatino,201,15
202505,Ica,B12CP,07:00 - 14:26,Sabatino,101,15
202505,Ica,I03CP,07:00 - 14:26,Sabatino,103,17
202505,Ica,I12SI,07:00 - 14:26,Sabatino,104,13
202505,Ica,B01RP,08:45 - 10:15,Diario,101,15
202505,Ica,B04RP,08:45 - 10:15,Diario,203,14
202505,Ica,B08RP,08:45 - 10:15,Diario,103,17
202505,Ica,B00RP,10:30 - 12:00,Diario,102,15
202505,Ica,JR1SP,14:40 - 16:21,Sabatino,105,23
202505,Ica,AL3RP,16:00 - 17:30,Diario,104,13
202505,Ica,AP2,16:00 - 17:30,Diario,102,15
202505,Ica,B01RP,16:00 - 17:30,Diario,106,19
202505,Ica,B02RP,16:00 - 17:30,Diario,201,15
202505,Ica,B03RP,16:00 - 17:30,Diario,107,19
202505,Ica,B04RP,16:00 - 17:30,Diario,203,14
202505,Ica,B11RP,16:00 - 17:30,Diario,103,17
202505,Ica,B12RP,16:00 - 17:30,Diario,204,19
202505,Ica,I02RP,16:00 - 17:30,Diario,108,12
202505,Ica,I03RP,16:00 - 17:30,Diario,202,15
202505,Ica,B00RP,16:00 - 17:30,Diario,105,24
202505,Ica,I04RP,16:00 - 17:30,Diario,101,15
